MES_DISPONIBILIZACAO;UF;VALOR_RECEBIDO;TOTAL_DE_CADASTROS;MEDIA_PAGO;Mediana
202004;AM;859055400;1174666;731,31889999999999;600
202004;AP;186475200;245232;760,40319999999997;600
202004;DF;348876000;478956;728,40930000000003;600
202004;GO;1080148200;1505333;717,54769999999996;600
202004;MS;420110400;585227;717,85889999999995;600
202004;PI;778857000;1100888;707,48069999999996;600
202004;RR;122765400;168285;729,50890000000004;600
202004;SC;689673000;983454;701,27629999999999;600
202004;TO;293106000;417106;702,71349999999995;600
202004;AC;180690000;255696;706,65949999999998;600
202004;AL;734031600;999491;734,40539999999999;600
202004;CE;2047246800;2891650;707,98569999999995;600
202004;PE;2151693000;2954440;728,29129999999998;600
202004;PR;1465142400;2114283;692,97360000000003;600
202004;RJ;2745011400;3772903;727,55949999999996;600
202004;RN;734352000;1032917;710,94970000000001;600
202004;SE;521482800;717066;727,24519999999995;600
202004;BA;3397655400;4767849;712,61810000000003;600
202004;MA;1657030200;2264950;731,59680000000003;600
202004;PB;899688600;1266156;710,56690000000003;600
202004;RO;296610000;419195;707,57050000000004;600
202004;ES;608608800;872135;697,83780000000002;600
202004;MG;3067840800;4414652;694,92250000000001;600
202004;MT;553473600;764849;723,6377;600
202004;PA;1943581800;2677031;726,02139999999997;600
202004;RS;1280119800;1784148;717,49639999999999;600
202004;SP;5753900400;8092044;711,05650000000003;600
